,Centre Latitude,Centre Longitude,Attractions,Activities,Accommodation
0,51.0,-5.0,0,0,0
1,51.0,-5.086956521739131,0,0,0
2,51.0,-5.173913043478261,0,0,0
3,51.0,-5.260869565217392,0,0,0
4,51.0,-5.3478260869565215,0,0,0
5,51.0,-5.434782608695652,0,0,0
6,51.0,-5.521739130434782,0,0,0
7,51.0,-5.608695652173913,0,0,0
8,51.0,-5.695652173913043,0,0,0
9,51.0,-5.782608695652174,0,0,0
10,51.0,-5.869565217391305,0,0,0
11,51.0,-5.956521739130435,0,0,0
12,51.0,-6.043478260869565,0,0,0
13,51.0,-6.130434782608695,0,0,0
14,51.0,-6.217391304347826,0,0,0
15,51.0,-6.304347826086957,0,0,0
16,51.0,-6.391304347826087,0,0,0
17,51.0,-6.478260869565217,0,0,0
18,51.0,-6.565217391304348,0,0,0
19,51.0,-6.6521739130434785,0,0,0
20,51.0,-6.739130434782608,0,0,0
21,51.0,-6.826086956521739,0,0,0
22,51.0,-6.913043478260869,0,0,0
23,51.0,-7.0,0,0,0
24,51.0,-7.086956521739131,0,0,0
25,51.0,-7.173913043478261,0,0,0
26,51.0,-7.260869565217391,0,0,0
27,51.0,-7.3478260869565215,0,0,0
28,51.0,-7.434782608695652,0,0,0
29,51.0,-7.521739130434783,0,0,0
30,51.0,-7.608695652173913,0,0,0
31,51.0,-7.695652173913043,0,0,0
32,51.0,-7.782608695652174,0,0,0
33,51.0,-7.869565217391305,0,0,0
34,51.0,-7.956521739130435,0,0,0
35,51.0,-8.043478260869565,0,0,0
36,51.0,-8.130434782608695,0,0,0
37,51.0,-8.217391304347826,0,0,0
38,51.0,-8.304347826086957,0,0,0
39,51.0,-8.391304347826086,0,0,0
40,51.0,-8.478260869565217,0,0,0
41,51.0,-8.565217391304348,0,0,0
42,51.0,-8.652173913043478,0,0,0
43,51.0,-8.73913043478261,0,0,0
44,51.0,-8.826086956521738,0,0,0
45,51.0,-8.91304347826087,0,0,0
46,51.0,-9.0,0,0,0
47,51.0,-9.086956521739129,0,0,0
48,51.0,-9.173913043478262,0,0,0
49,51.0,-9.26086956521739,0,0,0
50,51.0,-9.347826086956522,0,0,0
51,51.0,-9.434782608695652,0,0,0
52,51.0,-9.521739130434781,0,0,0
53,51.0,-9.608695652173914,0,0,0
54,51.0,-9.695652173913043,0,0,0
55,51.0,-9.782608695652174,0,0,0
56,51.0,-9.869565217391305,0,0,0
57,51.0,-9.956521739130434,0,0,0
58,51.0,-10.043478260869566,0,0,0
59,51.0,-10.130434782608695,0,0,0
60,51.0,-10.217391304347826,0,0,0
61,51.0,-10.304347826086957,0,0,0
62,51.0,-10.391304347826086,0,0,0
63,51.0,-10.478260869565217,0,0,0
64,51.0,-10.565217391304348,0,0,0
65,51.0,-10.652173913043478,0,0,0
66,51.0,-10.73913043478261,0,0,0
67,51.0,-10.826086956521738,0,0,0
68,51.0,-10.91304347826087,0,0,0
69,51.0,-11.0,0,0,0
70,51.056179775280896,-5.0,0,0,0
71,51.056179775280896,-5.086956521739131,0,0,0
72,51.056179775280896,-5.173913043478261,0,0,0
73,51.056179775280896,-5.260869565217392,0,0,0
74,51.056179775280896,-5.3478260869565215,0,0,0
75,51.056179775280896,-5.434782608695652,0,0,0
76,51.056179775280896,-5.521739130434782,0,0,0
77,51.056179775280896,-5.608695652173913,0,0,0
78,51.056179775280896,-5.695652173913043,0,0,0
79,51.056179775280896,-5.782608695652174,0,0,0
80,51.056179775280896,-5.869565217391305,0,0,0
81,51.056179775280896,-5.956521739130435,0,0,0
82,51.056179775280896,-6.043478260869565,0,0,0
83,51.056179775280896,-6.130434782608695,0,0,0
84,51.056179775280896,-6.217391304347826,0,0,0
85,51.056179775280896,-6.304347826086957,0,0,0
86,51.056179775280896,-6.391304347826087,0,0,0
87,51.056179775280896,-6.478260869565217,0,0,0
88,51.056179775280896,-6.565217391304348,0,0,0
89,51.056179775280896,-6.6521739130434785,0,0,0
90,51.056179775280896,-6.739130434782608,0,0,0
91,51.056179775280896,-6.826086956521739,0,0,0
92,51.056179775280896,-6.913043478260869,0,0,0
93,51.056179775280896,-7.0,0,0,0
94,51.056179775280896,-7.086956521739131,0,0,0
95,51.056179775280896,-7.173913043478261,0,0,0
96,51.056179775280896,-7.260869565217391,0,0,0
97,51.056179775280896,-7.3478260869565215,0,0,0
98,51.056179775280896,-7.434782608695652,0,0,0
99,51.056179775280896,-7.521739130434783,0,0,0
100,51.056179775280896,-7.608695652173913,0,0,0
101,51.056179775280896,-7.695652173913043,0,0,0
102,51.056179775280896,-7.782608695652174,0,0,0
103,51.056179775280896,-7.869565217391305,0,0,0
104,51.056179775280896,-7.956521739130435,0,0,0
105,51.056179775280896,-8.043478260869565,0,0,0
106,51.056179775280896,-8.130434782608695,0,0,0
107,51.056179775280896,-8.217391304347826,0,0,0
108,51.056179775280896,-8.304347826086957,0,0,0
109,51.056179775280896,-8.391304347826086,0,0,0
110,51.056179775280896,-8.478260869565217,0,0,0
111,51.056179775280896,-8.565217391304348,0,0,0
112,51.056179775280896,-8.652173913043478,0,0,0
113,51.056179775280896,-8.73913043478261,0,0,0
114,51.056179775280896,-8.826086956521738,0,0,0
115,51.056179775280896,-8.91304347826087,0,0,0
116,51.056179775280896,-9.0,0,0,0
117,51.056179775280896,-9.086956521739129,0,0,0
118,51.056179775280896,-9.173913043478262,0,0,0
119,51.056179775280896,-9.26086956521739,0,0,0
120,51.056179775280896,-9.347826086956522,0,0,0
121,51.056179775280896,-9.434782608695652,0,0,0
122,51.056179775280896,-9.521739130434781,0,0,0
123,51.056179775280896,-9.608695652173914,0,0,0
124,51.056179775280896,-9.695652173913043,0,0,0
125,51.056179775280896,-9.782608695652174,0,0,0
126,51.056179775280896,-9.869565217391305,0,0,0
127,51.056179775280896,-9.956521739130434,0,0,0
128,51.056179775280896,-10.043478260869566,0,0,0
129,51.056179775280896,-10.130434782608695,0,0,0
130,51.056179775280896,-10.217391304347826,0,0,0
131,51.056179775280896,-10.304347826086957,0,0,0
132,51.056179775280896,-10.391304347826086,0,0,0
133,51.056179775280896,-10.478260869565217,0,0,0
134,51.056179775280896,-10.565217391304348,0,0,0
135,51.056179775280896,-10.652173913043478,0,0,0
136,51.056179775280896,-10.73913043478261,0,0,0
137,51.056179775280896,-10.826086956521738,0,0,0
138,51.056179775280896,-10.91304347826087,0,0,0
139,51.056179775280896,-11.0,0,0,0
140,51.1123595505618,-5.0,0,0,0
141,51.1123595505618,-5.086956521739131,0,0,0
142,51.1123595505618,-5.173913043478261,0,0,0
143,51.1123595505618,-5.260869565217392,0,0,0
144,51.1123595505618,-5.3478260869565215,0,0,0
145,51.1123595505618,-5.434782608695652,0,0,0
146,51.1123595505618,-5.521739130434782,0,0,0
147,51.1123595505618,-5.608695652173913,0,0,0
148,51.1123595505618,-5.695652173913043,0,0,0
149,51.1123595505618,-5.782608695652174,0,0,0
150,51.1123595505618,-5.869565217391305,0,0,0
151,51.1123595505618,-5.956521739130435,0,0,0
152,51.1123595505618,-6.043478260869565,0,0,0
153,51.1123595505618,-6.130434782608695,0,0,0
154,51.1123595505618,-6.217391304347826,0,0,0
155,51.1123595505618,-6.304347826086957,0,0,0
156,51.1123595505618,-6.391304347826087,0,0,0
157,51.1123595505618,-6.478260869565217,0,0,0
158,51.1123595505618,-6.565217391304348,0,0,0
159,51.1123595505618,-6.6521739130434785,0,0,0
160,51.1123595505618,-6.739130434782608,0,0,0
161,51.1123595505618,-6.826086956521739,0,0,0
162,51.1123595505618,-6.913043478260869,0,0,0
163,51.1123595505618,-7.0,0,0,0
164,51.1123595505618,-7.086956521739131,0,0,0
165,51.1123595505618,-7.173913043478261,0,0,0
166,51.1123595505618,-7.260869565217391,0,0,0
167,51.1123595505618,-7.3478260869565215,0,0,0
168,51.1123595505618,-7.434782608695652,0,0,0
169,51.1123595505618,-7.521739130434783,0,0,0
170,51.1123595505618,-7.608695652173913,0,0,0
171,51.1123595505618,-7.695652173913043,0,0,0
172,51.1123595505618,-7.782608695652174,0,0,0
173,51.1123595505618,-7.869565217391305,0,0,0
174,51.1123595505618,-7.956521739130435,0,0,0
175,51.1123595505618,-8.043478260869565,0,0,0
176,51.1123595505618,-8.130434782608695,0,0,0
177,51.1123595505618,-8.217391304347826,0,0,0
178,51.1123595505618,-8.304347826086957,0,0,0
179,51.1123595505618,-8.391304347826086,0,0,0
180,51.1123595505618,-8.478260869565217,0,0,0
181,51.1123595505618,-8.565217391304348,0,0,0
182,51.1123595505618,-8.652173913043478,0,0,0
183,51.1123595505618,-8.73913043478261,0,0,0
184,51.1123595505618,-8.826086956521738,0,0,0
185,51.1123595505618,-8.91304347826087,0,0,0
186,51.1123595505618,-9.0,0,0,0
187,51.1123595505618,-9.086956521739129,0,0,0
188,51.1123595505618,-9.173913043478262,0,0,0
189,51.1123595505618,-9.26086956521739,0,0,0
190,51.1123595505618,-9.347826086956522,0,0,0
191,51.1123595505618,-9.434782608695652,0,0,0
192,51.1123595505618,-9.521739130434781,0,0,0
193,51.1123595505618,-9.608695652173914,0,0,0
194,51.1123595505618,-9.695652173913043,0,0,0
195,51.1123595505618,-9.782608695652174,0,0,0
196,51.1123595505618,-9.869565217391305,0,0,0
197,51.1123595505618,-9.956521739130434,0,0,0
198,51.1123595505618,-10.043478260869566,0,0,0
199,51.1123595505618,-10.130434782608695,0,0,0
200,51.1123595505618,-10.217391304347826,0,0,0
201,51.1123595505618,-10.304347826086957,0,0,0
202,51.1123595505618,-10.391304347826086,0,0,0
203,51.1123595505618,-10.478260869565217,0,0,0
204,51.1123595505618,-10.565217391304348,0,0,0
205,51.1123595505618,-10.652173913043478,0,0,0
206,51.1123595505618,-10.73913043478261,0,0,0
207,51.1123595505618,-10.826086956521738,0,0,0
208,51.1123595505618,-10.91304347826087,0,0,0
209,51.1123595505618,-11.0,0,0,0
210,51.168539325842694,-5.0,0,0,0
211,51.168539325842694,-5.086956521739131,0,0,0
212,51.168539325842694,-5.173913043478261,0,0,0
213,51.168539325842694,-5.260869565217392,0,0,0
214,51.168539325842694,-5.3478260869565215,0,0,0
215,51.168539325842694,-5.434782608695652,0,0,0
216,51.168539325842694,-5.521739130434782,0,0,0
217,51.168539325842694,-5.608695652173913,0,0,0
218,51.168539325842694,-5.695652173913043,0,0,0
219,51.168539325842694,-5.782608695652174,0,0,0
220,51.168539325842694,-5.869565217391305,0,0,0
221,51.168539325842694,-5.956521739130435,0,0,0
222,51.168539325842694,-6.043478260869565,0,0,0
223,51.168539325842694,-6.130434782608695,0,0,0
224,51.168539325842694,-6.217391304347826,0,0,0
225,51.168539325842694,-6.304347826086957,0,0,0
226,51.168539325842694,-6.391304347826087,0,0,0
227,51.168539325842694,-6.478260869565217,0,0,0
228,51.168539325842694,-6.565217391304348,0,0,0
229,51.168539325842694,-6.6521739130434785,0,0,0
230,51.168539325842694,-6.739130434782608,0,0,0
231,51.168539325842694,-6.826086956521739,0,0,0
232,51.168539325842694,-6.913043478260869,0,0,0
233,51.168539325842694,-7.0,0,0,0
234,51.168539325842694,-7.086956521739131,0,0,0
235,51.168539325842694,-7.173913043478261,0,0,0
236,51.168539325842694,-7.260869565217391,0,0,0
237,51.168539325842694,-7.3478260869565215,0,0,0
238,51.168539325842694,-7.434782608695652,0,0,0
239,51.168539325842694,-7.521739130434783,0,0,0
240,51.168539325842694,-7.608695652173913,0,0,0
241,51.168539325842694,-7.695652173913043,0,0,0
242,51.168539325842694,-7.782608695652174,0,0,0
243,51.168539325842694,-7.869565217391305,0,0,0
244,51.168539325842694,-7.956521739130435,0,0,0
245,51.168539325842694,-8.043478260869565,0,0,0
246,51.168539325842694,-8.130434782608695,0,0,0
247,51.168539325842694,-8.217391304347826,0,0,0
248,51.168539325842694,-8.304347826086957,0,0,0
249,51.168539325842694,-8.391304347826086,0,0,0
250,51.168539325842694,-8.478260869565217,0,0,0
251,51.168539325842694,-8.565217391304348,0,0,0
252,51.168539325842694,-8.652173913043478,0,0,0
253,51.168539325842694,-8.73913043478261,0,0,0
254,51.168539325842694,-8.826086956521738,0,0,0
255,51.168539325842694,-8.91304347826087,0,0,0
256,51.168539325842694,-9.0,0,0,0
257,51.168539325842694,-9.086956521739129,0,0,0
258,51.168539325842694,-9.173913043478262,0,0,0
259,51.168539325842694,-9.26086956521739,0,0,0
260,51.168539325842694,-9.347826086956522,0,0,0
261,51.168539325842694,-9.434782608695652,0,0,0
262,51.168539325842694,-9.521739130434781,0,0,0
263,51.168539325842694,-9.608695652173914,0,0,0
264,51.168539325842694,-9.695652173913043,0,0,0
265,51.168539325842694,-9.782608695652174,0,0,0
266,51.168539325842694,-9.869565217391305,0,0,0
267,51.168539325842694,-9.956521739130434,0,0,0
268,51.168539325842694,-10.043478260869566,0,0,0
269,51.168539325842694,-10.130434782608695,0,0,0
270,51.168539325842694,-10.217391304347826,0,0,0
271,51.168539325842694,-10.304347826086957,0,0,0
272,51.168539325842694,-10.391304347826086,0,0,0
273,51.168539325842694,-10.478260869565217,0,0,0
274,51.168539325842694,-10.565217391304348,0,0,0
275,51.168539325842694,-10.652173913043478,0,0,0
276,51.168539325842694,-10.73913043478261,0,0,0
277,51.168539325842694,-10.826086956521738,0,0,0
278,51.168539325842694,-10.91304347826087,0,0,0
279,51.168539325842694,-11.0,0,0,0
280,51.2247191011236,-5.0,0,0,0
281,51.2247191011236,-5.086956521739131,0,0,0
282,51.2247191011236,-5.173913043478261,0,0,0
283,51.2247191011236,-5.260869565217392,0,0,0
284,51.2247191011236,-5.3478260869565215,0,0,0
285,51.2247191011236,-5.434782608695652,0,0,0
286,51.2247191011236,-5.521739130434782,0,0,0
287,51.2247191011236,-5.608695652173913,0,0,0
288,51.2247191011236,-5.695652173913043,0,0,0
289,51.2247191011236,-5.782608695652174,0,0,0
290,51.2247191011236,-5.869565217391305,0,0,0
291,51.2247191011236,-5.956521739130435,0,0,0
292,51.2247191011236,-6.043478260869565,0,0,0
293,51.2247191011236,-6.130434782608695,0,0,0
294,51.2247191011236,-6.217391304347826,0,0,0
295,51.2247191011236,-6.304347826086957,0,0,0
296,51.2247191011236,-6.391304347826087,0,0,0
297,51.2247191011236,-6.478260869565217,0,0,0
298,51.2247191011236,-6.565217391304348,0,0,0
299,51.2247191011236,-6.6521739130434785,0,0,0
300,51.2247191011236,-6.739130434782608,0,0,0
301,51.2247191011236,-6.826086956521739,0,0,0
302,51.2247191011236,-6.913043478260869,0,0,0
303,51.2247191011236,-7.0,0,0,0
304,51.2247191011236,-7.086956521739131,0,0,0
305,51.2247191011236,-7.173913043478261,0,0,0
306,51.2247191011236,-7.260869565217391,0,0,0
307,51.2247191011236,-7.3478260869565215,0,0,0
308,51.2247191011236,-7.434782608695652,0,0,0
309,51.2247191011236,-7.521739130434783,0,0,0
310,51.2247191011236,-7.608695652173913,0,0,0
311,51.2247191011236,-7.695652173913043,0,0,0
312,51.2247191011236,-7.782608695652174,0,0,0
313,51.2247191011236,-7.869565217391305,0,0,0
314,51.2247191011236,-7.956521739130435,0,0,0
315,51.2247191011236,-8.043478260869565,0,0,0
316,51.2247191011236,-8.130434782608695,0,0,0
317,51.2247191011236,-8.217391304347826,0,0,0
318,51.2247191011236,-8.304347826086957,0,0,0
319,51.2247191011236,-8.391304347826086,0,0,0
320,51.2247191011236,-8.478260869565217,0,0,0
321,51.2247191011236,-8.565217391304348,0,0,0
322,51.2247191011236,-8.652173913043478,0,0,0
323,51.2247191011236,-8.73913043478261,0,0,0
